geographic_area,city,median_income,percent_completed_hs,poverty_rate,share_white,share_black,share_native_american,share_asian,share_hispanic,count
CO,Lakewood,56954.0,91.5,11.9,82.9,1.6,1.4,3.1,22.0,2
CO,Loveland,56277.0,94.1,9.1,91.5,0.6,0.8,1.0,11.7,3
CO,Mountain View,45714.0,82.2,10.7,80.1,0.4,2.4,0.6,28.4,1
CO,New Castle,66818.0,89.2,12.1,83.3,0.7,1.5,0.9,28.4,1
CO,Northglenn,55831.0,86.6,14.0,76.6,2.3,1.3,3.7,30.6,2
CO,Parker,100469.0,98.0,4.2,90.1,1.5,0.5,3.2,8.2,1
CO,Pueblo,34550.0,85.3,25.0,75.2,2.5,2.2,0.8,49.8,4
CO,Strasburg,76875.0,92.9,4.7,93.6,0.9,0.9,0.6,6.7,1
CO,Thornton,66948.0,87.5,8.9,77.4,1.8,1.1,4.4,31.7,1
CO,Trinidad,43819.0,84.1,16.9,81.5,0.9,2.6,0.9,50.0,1
CO,Westminster,67081.0,91.0,9.0,82.0,1.4,0.9,5.4,20.7,6
CT,Bridgeport,41801.0,75.6,22.9,39.6,34.6,0.5,3.4,38.2,1
CT,Mashantucket,84583.0,91.5,0.6,16.1,6.0,50.5,0.0,12.7,1
CT,Stamford,79359.0,89.0,9.4,65.0,13.9,0.3,7.9,23.8,1
CT,Thomaston,42423.0,86.3,10.8,95.3,0.5,0.4,0.5,4.5,1
DE,Claymont,47525.0,87.6,12.1,64.0,27.0,0.3,3.8,7.1,1
DE,Frederica,58000.0,81.5,15.5,68.0,19.4,0.0,0.9,12.7,1
DE,Middletown,84451.0,93.3,5.4,61.9,28.4,0.2,3.8,7.4,1
DE,New Castle,56307.0,88.8,13.7,67.3,27.2,0.3,1.2,5.4,1
DE,Smyrna,54217.0,89.9,7.6,63.1,29.1,0.3,1.5,5.9,1
DE,Wilmington,40465.0,83.2,24.5,32.6,58.0,0.4,1.0,12.4,3
DC,Washington,70848.0,89.3,18.0,38.5,50.7,0.3,3.5,9.1,11
FL,Auburndale,41827.0,81.1,17.6,80.0,12.8,0.4,1.2,13.1,1
FL,Belle Glade,30303.0,63.6,35.9,31.1,56.3,0.2,0.5,34.2,1
FL,Bradenton,40227.0,84.9,18.1,73.3,15.9,0.3,1.1,17.0,2
FL,Brooksville,30392.0,82.2,27.3,76.9,18.0,0.4,0.9,6.6,2
FL,Callahan,25641.0,81.2,27.6,89.3,7.0,0.3,0.9,2.4,1
FL,Cape Canaveral,44802.0,93.4,13.4,92.9,2.4,0.3,1.8,5.7,1
FL,Cape Coral,50536.0,90.4,14.2,88.2,4.3,0.3,1.5,19.5,2
FL,Clermont,51938.0,92.3,14.1,71.7,14.4,0.4,4.2,17.8,1
FL,Cocoa,30517.0,83.1,29.3,59.2,31.3,0.5,1.1,11.3,2
FL,Crescent City,26202.0,71.0,37.0,58.4,30.8,0.5,0.4,17.7,1
FL,Crystal Springs,27250.0,66.0,25.1,90.8,0.9,0.5,1.2,8.6,1
FL,DeLand,39382.0,87.4,20.6,74.5,17.1,0.3,1.9,12.7,2
FL,Delray Beach,50136.0,85.5,17.8,65.7,28.0,0.2,1.8,9.5,1
FL,Deltona,42077.0,88.2,16.4,76.7,10.9,0.5,1.3,30.2,4
FL,Englewood,42500.0,91.4,10.5,97.1,0.3,0.2,0.7,2.5,1
FL,Floral City,32326.0,83.9,13.6,96.2,1.3,0.5,0.3,3.2,1
FL,Fort Lauderdale,50778.0,85.9,20.7,62.6,31.0,0.3,1.5,13.7,1
FL,Fort Pierce,25635.0,76.1,36.6,45.3,40.9,0.6,0.9,21.6,3
FL,Fort Walton Beach,47149.0,89.2,17.5,77.7,12.3,0.7,3.2,7.9,2
FL,Fruitland Park,39625.0,85.0,17.3,84.7,9.4,0.2,1.5,7.7,1
FL,Gainesville,31818.0,92.1,35.6,64.9,23.0,0.3,6.9,10.0,2
FL,Gifford,30407.0,82.5,30.7,49.7,43.7,0.3,0.6,8.5,1
FL,Hallandale Beach,34216.0,85.8,22.1,73.7,18.7,0.2,1.4,31.8,1
FL,Holiday,32129.0,83.7,21.1,89.5,4.1,0.5,1.4,10.0,1
FL,Homestead,40959.0,69.1,28.8,66.9,20.4,0.4,1.2,62.9,2
FL,Immokalee,26684.0,41.3,43.9,43.2,18.9,1.0,0.2,75.6,1
FL,Jacksonville,46764.0,88.2,17.7,59.4,30.7,0.4,4.3,7.7,11
FL,Jupiter,71233.0,92.3,9.2,90.6,1.5,0.5,2.0,12.7,1
FL,Lakeland,39706.0,87.4,19.2,70.8,20.9,0.3,1.8,12.6,3
FL,Lake Wales,36296.0,77.8,28.9,65.0,27.5,0.5,0.8,15.6,1
FL,Largo,39468.0,88.0,16.2,86.3,5.6,0.3,2.7,9.0,1
FL,Lealman,30304.0,77.5,29.1,78.6,8.5,0.5,6.9,9.5,2
FL,Mascotte,44722.0,69.7,14.6,60.4,11.8,0.9,1.5,47.3,1
FL,Melbourne,40219.0,89.2,15.9,80.9,10.3,0.3,3.1,8.9,1
FL,Miami,31051.0,73.2,28.3,72.6,19.2,0.3,1.0,70.0,17
FL,Miami Beach,44342.0,87.2,17.7,87.4,4.4,0.3,1.9,53.0,1
FL,Miami Gardens,38253.0,80.3,23.1,18.3,76.3,0.2,0.6,22.0,2
FL,Micanopy,36652.0,87.6,12.7,74.2,22.2,1.3,0.2,2.8,1
FL,Middleburg,48430.0,83.5,16.8,92.9,3.1,0.6,0.7,4.1,1
FL,Milton,46040.0,90.8,15.0,77.4,13.9,0.7,2.2,4.8,1
FL,Naples,79515.0,94.1,8.8,93.3,4.2,0.1,0.6,4.5,1
FL,Navarre,67023.0,93.8,9.6,83.2,6.5,0.5,3.3,7.0,1
FL,Niceville,58954.0,94.4,14.0,87.2,4.2,0.6,3.2,4.7,1
FL,Noma,30750.0,70.1,29.8,77.7,21.3,0.0,0.0,0.0,1
FL,North Port,52571.0,90.5,12.8,87.6,7.0,0.3,1.2,8.7,1
FL,Oakland Park,45357.0,82.8,20.2,62.6,25.6,0.3,2.0,25.6,1
FL,Ocala,35924.0,86.1,22.6,70.7,20.9,0.3,2.6,11.7,2
FL,Orange City,32788.0,87.6,21.7,85.7,6.5,0.4,1.5,16.9,1
FL,Orange Park,47548.0,92.6,8.7,75.9,14.8,0.3,3.2,8.8,1
FL,Orlando,42318.0,89.5,20.2,57.6,28.1,0.4,3.8,25.4,9
FL,Palm Bay,43163.0,87.6,17.6,72.9,17.9,0.5,1.8,14.1,3
FL,Palm Beach Gardens,68802.0,94.9,6.5,89.3,4.4,0.2,3.1,8.9,1
FL,Palm Harbor,53281.0,95.5,8.4,93.5,2.0,0.2,1.6,5.9,1
FL,Panama City,37190.0,87.2,21.2,71.6,22.0,0.5,1.6,5.1,1
